gutenberg_id	title	author	sentence
1342	Pride and Prejudice	Jane Austen	how ardently did she long to know whether any of his were directed in a like manner
345	Dracula	Bram Stoker	I questioned him more fully than I had ever done, with a view to making myself master of the facts of his hallucination
1342	Pride and Prejudice	Jane Austen	The paling of Rosings park was their boundary on one side
345	Dracula	Bram Stoker	During lunch he told us that Mrs
345	Dracula	Bram Stoker	Before he could strike again, however, I got in my right and he was sprawling on his back on the floor
345	Dracula	Bram Stoker	PERILOUS ADVENTURE OF OUR INTERVIEWER
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	The latter is always instructive
345	Dracula	Bram Stoker	The fourth was only a young girl, and the drug had evidently affected her more strongly, so I lifted her on the sofa and let her sleep
345	Dracula	Bram Stoker	She seems not too well herself, and doubtless she fears to worry me
345	Dracula	Bram Stoker	The wounds of the face was superficial; the real injury was a depressed fracture of the skull, extending right up through the motor area
345	Dracula	Bram Stoker	I shall not ever enter on the subject with her under any circumstances
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	Holmes gazed long and earnestly at it
345	Dracula	Bram Stoker	It was like a soul crying out to Almighty God
345	Dracula	Bram Stoker	What does that blood mean
1342	Pride and Prejudice	Jane Austen	She saw, with the creative eye of fancy, the streets of that gay bathing-place covered with officers
345	Dracula	Bram Stoker	With regard to patient, Renfield, there is more to say
345	Dracula	Bram Stoker	You have aided in thwarting me; now you shall come to my call
1342	Pride and Prejudice	Jane Austen	They travelled as expeditiously as possible; and sleeping one night on the road, reached Longbourn by dinnertime the next day
1342	Pride and Prejudice	Jane Austen	Elizabeth tried to be diverted by them; but all sense of pleasure was lost in shame
345	Dracula	Bram Stoker	Only ten days ago a wolf got out, and was, I believe, traced up in this direction
345	Dracula	Bram Stoker	By following up this clue we may learn a good deal
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	In his eyes she eclipses and predominates the whole of her sex
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	Women are naturally secretive, and they like to do their own secreting
1342	Pride and Prejudice	Jane Austen	How thankful am I, that we never let them know what has been said against him; we must forget it ourselves
1342	Pride and Prejudice	Jane Austen	what will become of me
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	I shall be true to Hosmer
345	Dracula	Bram Stoker	I propose that we add Winchesters to our armament
11	Alice's Adventures in Wonderland	Lewis Carroll	There was a sound of many footsteps, and Alice looked round, eager to see the Queen
345	Dracula	Bram Stoker	I have never seen him so eager
345	Dracula	Bram Stoker	This cargo was consigned to a Whitby solicitor, Mr
1342	Pride and Prejudice	Jane Austen	It was impossible for her to see the word without thinking of Pemberley and its owner
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	Wilson, off you go at scratch and tell us all about yourself, your household, and the effect which this advertisement had upon your fortunes
