gutenberg_id	title	author	sentence
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	She writhed as one who is in terrible pain, and her limbs were dreadfully convulsed
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	Now he looks a little more human
1342	Pride and Prejudice	Jane Austen	Heaven and earth!--of what are you thinking
345	Dracula	Bram Stoker	I was firm, however, and made preparations for my long vigil
1342	Pride and Prejudice	Jane Austen	Lydia was Lydia still; untamed, unabashed, wild, noisy, and fearless
345	Dracula	Bram Stoker	Hundreds, thousands, millions of them, and every one a life; and dogs to eat them, and cats too
345	Dracula	Bram Stoker	After a short time I saw that for the present it was useless to speak to him
1342	Pride and Prejudice	Jane Austen	Why should they try to influence him
1342	Pride and Prejudice	Jane Austen	I do not know anybody who seems more to enjoy the power of doing what he likes than Mr
345	Dracula	Bram Stoker	Leave these others and come to me
1342	Pride and Prejudice	Jane Austen	In as short a time as Mr
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	All right, John; we shall not need you
1342	Pride and Prejudice	Jane Austen	She knew how little such a situation would give pleasure to either, or make either appear to advantage
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	There were no signs of violence, no footmarks, no robbery, no record of strangers having been seen upon the roads
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	Merryweather, we passed down a narrow passage and through a side door, which he opened for us
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	Even when she was just a baby her wee hand seemed to lead me down the right path as nothing else had ever done
11	Alice's Adventures in Wonderland	Lewis Carroll	How queer everything is to-day
345	Dracula	Bram Stoker	The leaves were turning to all kinds of beautiful colours, but had not yet begun to drop from the trees
1342	Pride and Prejudice	Jane Austen	The party did not supply much conversation
1342	Pride and Prejudice	Jane Austen	An hour, however, saw the whole completed; and Mr
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	Yet we have not a moment to lose
345	Dracula	Bram Stoker	We resumed our places, and Dr
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	The more featureless and commonplace a crime is, the more difficult it is to bring it home
1342	Pride and Prejudice	Jane Austen	But whatever may be the sentiments which Mr
1342	Pride and Prejudice	Jane Austen	He has given in all his debts; I hope at least he has not deceived us
345	Dracula	Bram Stoker	I have seen him myself crawl from his window
1342	Pride and Prejudice	Jane Austen	Miss Bingley said something of his never returning to Netherfield again, of giving up the house, but not with any certainty
1342	Pride and Prejudice	Jane Austen	I certainly _have_ had my share of beauty, but I do not pretend to be anything extraordinary now
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	Contributions to the Project Gutenberg Literary Archive Foundation are tax deductible to the full extent permitted by U.S
345	Dracula	Bram Stoker	Kiss her dead lips if you will, as she would have you to, if for her to choose
345	Dracula	Bram Stoker	I shall know better in time; and believe me that, though I am not ungrateful now, my gratitude will grow with my understanding
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	It seems that it was
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	Suddenly, with a plunge, as of the swimmer who leaves the bank, she hurried across the road, and we heard the sharp clang of the bell
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	This would be in the year 1878, after he had been eight or nine years in England
345	Dracula	Bram Stoker	Van Helsing stood up instinctively
1342	Pride and Prejudice	Jane Austen	On the contrary, there is something pleasing about his mouth when he speaks
1342	Pride and Prejudice	Jane Austen	The mischief of neglect and mistaken indulgence towards such a girl--oh
345	Dracula	Bram Stoker	At last, news of Jonathan
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	I ought to know its size and shape, seeing that I have read the advertisement about it in _The Times_ every day lately
345	Dracula	Bram Stoker	Seward simply nodded
345	Dracula	Bram Stoker	Does not the belief in vampires rest for others--though not, alas
345	Dracula	Bram Stoker	I wonder what they make out of it
345	Dracula	Bram Stoker	No other form could be seen on deck at all
345	Dracula	Bram Stoker	I shall not mind any flapping outside the window
